ADDRESS,CITY,PROV/STATE,"POSTAL/ZIP CODE",STORE,Latitude,Longitude,Hours,URL,Notes,Image,"Image URL",Phone,e,Icon,categories,BRANDS,COUNTRY,COUNTRY2,COUNTRY3
72 St.Regis Crescent,Toronto,ON,"M3J 1Z3",23 Degrees Roastery,43.754893,-79.484992,,www.23degreesroastery.com,,,"",,,,Online,,ca,Canada,
1701 Douglas St - Ste 1,Victoria,BC,"V8W 0C1",2percent Jazz Coffee Inc.,48.4295796,-123.3636005,,http://www.2percentjazz.com,,,"",,,,Roaster Retailer,,CA,Canada,
740 Hillside Ave,Victoria,BC,"V8T 1Z4",2percent Jazz Coffee Inc.,48.4389782,-123.3657666,,http://www.2percentjazz.com,,,"",,,,Roaster Retailer,,CA,Canada,
3350 South Clack Street,Abilene,TX,"79606",Natural Grocers by VC_Abilene (AB),32.409837,-99.7727919,,,,,"",,,,Grocery,Kicking Horse,US,United States,
4707 Marine Avenue,Powell River,BC,"V8A 2Y3",32 Lakes Coffee Roasters,49.843343,-124.528898,,http://www.32lakes.com,,,"",,,,Roaster Retailer,,ca,Canada,
5100 Belt Line Rd Ste 1012,Addison,TX,"75254",Whole Foods Market,32.9515797,-96.8206605,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
512 Fulham Road,Fullham,London,"SW6 5NJ",80 Stone Coffee Roasters,51.479747,-0.199034,,www.80stonecoffeeroasters.co.uk,,,"",,,,Online,,uk,United Kingdom,
Carrer Verneda del Congost 7,MontmelÃ³ (Barcelona),,"8160",80plus,41.56157,2.260204,,http://80plus.es,,,"",,,,Roaster Retailer,,es,Spain,
"92 HQ, Hardman Yard",Liverpool,Merseyside,"L1 9AX",92 Degrees,53.4014387,-2.9708586,,http://www.92degrees.coffee,,,"",,,,Roaster Retailer,,,United Kingdom,
24 Hardman Street,Liverpool,,"L1 9AX",92 Degrees Coffee,53.401481,-2.971348,,www.92degreescoffee.com,,,"",,,,Retail,,uk,United Kingdom,
116 Laurens Street,Aiken,SC,"29801",MoonBeans Coffee,33.494285,-81.955362,,www.newmoondowntown.com,,,"",,,,Retail,,us,United States,
5126 Sherbrooke O,Montreal,QC,"H4A 1T1",A Votre Sante,45.475848,-73.606826,,www.kickinghorsecoffee.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
"29 Conmurra Avenue ",Edwardstown,SA,"5039",AAA Diamond Coffee & Fine Quality Teas,-34.988106,138.571144,,www.aaacoffee.com.au,,,"",,,,Retail,,au,Australia,
1733 W. Market,Akron,OH,"44313",Whole Foods Market,41.110419,-81.5710696,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
204 Lark Street,Albany,NY,"12210",The Daily Grind,42.65595575,-73.76407275,,www.dailygrind.com,,,"",,,,Retail,,us,United States,
952 Hill Street,Albany,OR,"97321","The Human Bean ",44.6321759,-123.0925202,,www.thehumanbean.com,,,"",,,,Retail,,us,United States,
1425 Central Ave,Albany,NY,"12205",Whole Foods Market,42.7102729,-73.8165423,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
"400 Gold Avenue SW, Ste 104",Albuquerque,NM,"87102",Bad Ass Coffee,35.0833514,-106.6521937,,www.badasscoffee.com,,,"",,,,Roast/Retail,,us,United States,
2400 Rio Grande Blvd NW,Albuquerque,NM,"87104",La Montanita Co-op (Valley),35.1179497,-106.674654,,,,,"",,,,Grocery,Kicking Horse,US,United States,
9261 Coors Blvd,Albuquerque,NM,"87114",Natural Grocers by VC_Albuquerque West (AW),35.1834674,-106.6662048,,,,,"",,,,Grocery,Kicking Horse,US,United States,
4801 NE Jefferson Street,Albuquerque,NM,"87109",Red Rock Roasters,35.1355105,-106.5939928,,www.redrockroasters.com,,,"",,,,Online,,us,United States,
413 Montano Rd NE,Albuquerque,NM,"87107",Trifecta Coffee co.,35.1368491,-106.6265054,,http://www.trifectacoffeeco.com,,,"",,,,Roaster Retailer,,US,United States,
2103 Carlisle Blvd. NE,Albuquerque,NM,"87106",Whole Foods Market,35.1028721,-106.6050929,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
5815 Wyoming Blvd. N.E.,Albuquerque,NM,"87109",Whole Foods Market,35.1463717,-106.5559212,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
573 Commercial St NE,"Albuquerque ",NM,"87102",Villa Myriam Coffee,35.088558,-106.6457,,www.villamyriam.com,,,"",,,,Retail,,us,United States,
600 Franklin St,Alexandria,VA,"22314",Balduccis Food Lovers Market (Alexandria),38.7978102,-77.0479011,,,,,"",,,,Grocery,Kicking Horse,US,United States,
1700 Duke St.,Alexandria,VA,"22314",Whole Foods Market,38.8041416,-77.0600615,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
750 Krocks Road Store S-8,Allentown,PA,"18106",Whole Foods Market,40.5643754,-75.565515,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
3005 Old Alabama Rd,Alpharetta,GA,"30022",The Fresh Market,34.0211313,-84.2723215,,,,,"",,,,Grocery,Counter Culture,US,United States,
2800 Old Milton Pkwy,Alpharetta,GA,"30004",Whole Foods Market,34.0694669,-84.2784091,,www.wholefoodsmarket.com,,,"",,,,Grocery,"Allegro Coffee, Batdorf & Bronson, Counter Culture",US,United States,
305 E. Altamonte Drive Ste 1000,Altamonte Springs,FL,"32701",Whole Foods Market,28.6642475,-81.3814416,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
146 Montauk Highway,Amagansett,NY,"11930",Jacks Coffee,40.97416745,-72.1430949,,www.jacksstirbrew.com,,,"",,,,Roaster Retailer,,us,United States,
7400 SW 34th Ave,Amarillo,TX,"79121",Natural Grocers by VC_Amarillo (AM),35.1778656,-101.9227724,,,,,"",,,,Grocery,Kicking Horse,US,United States,
5094 Route 22,Amenia,NY,"12501",Freshtown,41.8587295,-73.5512506,,,,,"",,,,Grocery,Kicking Horse,US,United States,
5094 New York 22,Amenia,NY,"12501",Freshtown of Amenia,41.8587295,-73.5512506,,,,,"",,,,Grocery,Kicking Horse,US,United States,
8146 South March Point Road,Anacortes,WA,"98221",Moka Joe Inc.,48.4616201,-122.561984,,www.mokajoe.com,,,"",,,,Online,,us,United States,
8163 E. Kaiser Boulevard Ste C,Anaheim Hills,CA,"92808",Bodhi Leaf Coffee Traders,33.866547,-117.74404,,www.bodhileafcoffee.com,,,"",,,,Roast/Retail,,us,United States,
"10950 Oï¿½Malley Centre, Ste E",Anchorage,AK,"99515","SteamDot ",61.115754,-149.912019,,www.steamdot.com,,,"",,,,Retail,,us,United States,
600 E Northern Lights Boulevard,Anchorage,AK,"99503","SteamDot ",61.195283,-149.872497,,www.steamdot.com,,,"",,,,Retail,,us,United States,
40 Railroad St.,Andover,MA,"01810",Whole Foods Market,42.660895,-71.1445731,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
1405 N Wayne St,Angola,IN,"46703",Five Lakes Coffee,41.6512596,-85.0001574,,http://www.fivelakes.com,,,"",,,,Roaster Retailer,,us,United States,
3607 Plymouth Rd,Ann Arbor,MI,"48105",Plum Market (Ann Arbor North Campus),42.3057948,-83.6900856,,,,,"",,,,Grocery,Kicking Horse,US,United States,
375 N Maple Rd,Ann Arbor,MI,"48103",Plum Market (Ann Arbor),42.284853,-83.7815669,,,,,"",,,,Grocery,Kicking Horse,US,United States,
3135 Washtenaw Avenue,Ann Arbor,MI,"48104",Whole Foods Market,42.2579727,-83.6981585,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
990 West Eisenhower Parkway,Ann Arbor,MI,"48103",Whole Foods Market,42.2484296,-83.7580081,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
2042 Somerville Rd,Annapolis,MD,"21401",Rise Up Coffee Roasters,38.9818688,-76.5379625,,https://riseupcoffee.com/,,,"",,,,Roaster Retailer,,us,United States,
1910 Towne Center Blvd,Annapolis,MD,"21401",The Baltimore Coffee & Tea Co.ï¿½,38.9808346,-76.5397239,,https://www.baltcoffee.com/,,,"",,,,Roast/Retail,,US,United States,
"200 Harker Place, Ste 100",Annapolis,MD,"21401",Whole Foods Market,38.9820525,-76.5397808,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
Barriere Town Road,Barriere,BC,"V0E 1E0","AG Foods ",51.183071,-120.122648,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
333 - 2nd Avenue,Bassano,AB,"T0J 0B0","AG Foods ",50.787541,-112.469456,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
403 Centre Avenue W,Black Diamond,AB,"T0L 0L0","AG Foods ",50.68832,-114.238202,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
38 North Grosvenor Avenue,Burnaby,BC,"V5B 1J2","AG Foods ",49.284922,-122.985133,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
"2405 20th Street ",Didsbury,AB,"T0M 0W0","AG Foods ",51.664419,-114.137244,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
906 7th Avenue,Invermere,BC,"V0A 1K0","AG Foods ",50.504629,-116.027884,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
3518 Gaetz Avenue,Red Deer,AB,"T4N 3Y4","AG Foods ",52.25613,-113.813348,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
"900 East 4th Street ",Revelstoke,BC,"V0E 1S0","AG Foods ",50.990893,-118.187328,,www.agfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
10150 Junction Drive,"Annapolis Junction ",MD,"20701",The Baltimore Coffee & Tea Co.,39.1245777,-76.7939073,,https://www.baltcoffee.com/,,,"",,,,Roast/Retail,,US,United States,
1441 Kelly Rd,Apex,NC,"27502",Publix,35.737636,-78.8933093,,,,,"",,,,Grocery,Kicking Horse,US,United States,
9105 Soquel Drive,Aptos,CA,"95003",California Coffee,37.032835,-122.02295,,www.surfcitycoffee.com,,,"",,,,Roast/Retail,Surf City Coffee,us,United States,
161 Aptos Village Way,Aptos,CA,"95003",New Leaf Market,36.9783698,-121.9003316,,,,,"",,,,Grocery,Kicking Horse,US,United States,
272 Main Road,Aquebogue,NY,"11931",Hampton Coffee Company Espresso Bar & Cafe,40.9418843,-72.6370261,,www.hamptoncoffeecompany.com,,,"",,,,Retail,,us,United States,
550 South G Street Suite 19,ARCATA,CA,"95521",KINETIC KOFFEE,40.856938,-124.088588,,http://www.kinetic-koffee.com,,,"",,,,Online,,US,United States,
"4121 Wilson Blvd, Suite 102C",Arlington,VA,"22203",Philz Coffee,38.8803111,-77.1101325,,www.philzcoffee.com,,,"",,,,Roast/Retail,,us,United States,
3444 Fairfax Dr,Arlington,VA,"22201",The Coffee Beanery,38.8835935,-77.1017678,,www.coffeebeanery.com,,,"",,,,Retail,,us,United States,
2700 Wilson Blvd.,Arlington,VA,"22201",Whole Foods Market,38.8892254,-77.0912401,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
520 12th Street South Suite 100,Arlington,VA,"22202",Whole Foods Market,38.8627727,-77.0552629,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
801 E. Lamar Rd.,Arlington,TX,"76011",Whole Foods Market,32.7668998,-97.0990989,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
808 Massachusetts Avenue,Arlington,MA,"02474",Whole Foods Market,42.416358,-71.1594866,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
1296 Bay Dale Dr,Arnold,MD,"21012",Rise Up Coffee Roasters,39.0382186,-76.4797432,,https://riseupcoffee.com/,,,"",,,,Roaster Retailer,,us,United States,
80 Rupert Street,Collingwood,VIC,"3066",Allpress Espresso,-37.806561,144.989435,,www.allpressespresso.com,,,"",,,,Retail,,au,Australia,
"58 Redchurch Street ",London,,"E2",Allpress Espresso,51.524433,-0.074526,,www.allpressespresso.com,,,"",,,,Retail,,uk,United Kingdom,
3-7-2 Hirano Koto-ku,Tokyo,,"135 0047",Allpress Espresso,35.677861,139.805178,,www.allpressespresso.com,,,"",,,,Retail,,jp,Japan,
58 Epsom Road,Zetland,NSW,"2017",Allpress Espresso,-33.910292,151.204752,,www.allpressespresso.com,,,"",,,,Retail,,au,Australia,
Schleifmuehlgasse 23,Wien,Wien,"1040",ALT WIEN KAFFEE - C. Schroedl KG,48.1980943,16.3640026,,http://www.altwien.at,,,"",,,,Roaster Retailer,,,Austria,
23 Douglas Alexander Parade,Auckland,,"632",Altura Coffee Company Ltd,-36.743056,174.699475,,http://www.alturacoffee.co.nz,,,"",,,,Wholesale Roaster,,NZ,New Zealand,
196 Russel Street,Madoc,ON,"K0K 2K0",Amazing Coffee in Madoc,44.508097,-77.476158,,www.amazingcoffee.ca,,,"",,,,Retail,,ca,Canada,
55 Doncaster Avenue,Thornhill,ON,"L3T 1L7","Ambrosia ",43.802436,-79.418299,,www.ambrosia.ca,,,"",,,,Grocery,Kicking Horse,ca,Canada,
57 Northview Boulevard,Vaughan,ON,"L4L 8X9","Ambrosia ",43.791456,-79.545959,,www.ambrosia.ca,,,"",,,,Grocery,"ONECOFFEE, Kicking Horse",ca,Canada,
7745 N Wadsworth Blvd,Arvada,CO,"80003",Natural Grocers,39.837959,-105.0830505,,,,,"",,,,Grocery,Kicking Horse,US,United States,
"94, Maeyeo-ro, Dong-gu, ",Daegu,,"41064",Angel Tech,35.897911,128.712548,,,,,"",,,,Wholesale Roaster,,KR,South Korea,
965 Albany Highway East,Victoria Park,WA,"6101",Antz Inya Pantz Coffee Co,-31.990432,115.907585,,www.antzinyapantz.com.au,,,"",,,,Retail,,au,Australia,
110 Te Henga Road,Auckland,Waitakere,"781",Aotearoa Coffee Company Limited,-36.86798,174.505859,,http://www.aotearoacoffee.com,,,"",,,,Roaster Retailer,,NZ,New Zealand,
"sindicat, 5",Palma,,"7001",Arabay Coffee,39.571061,2.652553,,http://www.arabaycoffee.com,,,"",,,,Roaster Retailer,,es,Spain,
19800 Belmont Chase Drive Unit 160,Ashburn,VA,"20147",Whole Foods Market,39.0684834,-77.4843963,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
1830 Hendersonville Rd,Asheville,NC,"28803",Publix,35.5047592,-82.522435,,,,,"",,,,Grocery,Kicking Horse,US,United States,
43 - 45 Carrington Road,"Marrickville ",NSW,"2204",Aroma Coffee,-33.91815,151.156246,,www.aromacoffee.com.au/,,,"",,,,Online,,au,Australia,
4 South Tunnel Road Suite 100,Asheville,NC,"28805",Whole Foods Market,35.5828775,-82.5249846,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
8 St.Mary's Place,Shrewsbury,Shropshire,"SY1 1DZ","Aroma Tea & Coffe Merchants ",52.708303,-2.751253,,www.aroma-coffee.co.uk,,,"",,,,Retail,,uk,United Kingdom,
"35 Main Street ",Young,NSW,"2594",Art of Espresso,-34.311907,148.295383,,www.artofespresso.com.au,,,"",,,,Retail,,au,Australia,
70 Merrimon Ave.,Asheville,NC,"28801",Whole Foods Market,35.6018998,-82.5546811,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffee,US,United States,
3305 Smith Drive,Armstrong,BC,"V0E 1B1","Askew's Foods ",50.447489,-119.184687,,www.askewsfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
111 Lakeshore Drive,Salmon Arm,BC,"V1E 4N3","Askew's Foods ",50.70262,-119.283416,,www.askewsfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
2701 11th Avenue NE,Salmon Arm,BC,"V1E 2S3","Askew's Foods ",50.707527,-119.254144,,www.askewsfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
"436 Main Street ",Sicamous,BC,"V0E 2V0","Askew's Foods ",50.836333,-118.983628,,www.askewsfoods.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
7100 44th Street,Calgary,AB,"T2C 2V7",Associated Grocers,50.994848,-113.97064,,www.kickinghorsecoffee.com,,,"",,,,Grocery,Kicking Horse,ca,Canada,
26 Market Street,Antigonish,NS,"B2G3B4",Atlantic Superstore #309,45.609232,-62.0158968,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
126 Albion St S,Amherst,NS,"B4H2X3",Atlantic Superstore #312,45.8159993,-64.2019247,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
5178 Hwy #3,Upper Tantallon,NS,"B3Z4H3",Atlantic Superstore #313,44.6879248,-63.8783222,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
535 Granville Street,Summerside,PE,"C1N6N4",Atlantic Superstore #314,46.4196834,-63.7773904,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
470 Main Street Box 580,Kingston,NS,"B0P1R0",Atlantic Superstore #318,44.9846692,-64.9523383,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
577 Victoria Street,Edmundston,NB,"E3V3M9",Atlantic Superstore #325,47.383166,-68.3351173,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
89 Trinity Drive,Moncton,NB,"E1G2J7",Atlantic Superstore #326,46.1185452,-64.8325383,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
46 Elm Street,Truro,NS,"B2N3H6",Atlantic Superstore #336,45.3675554,-63.2885152,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
21 Davison Drive,Bridgewater,NS,"B4V3K8",Atlantic Superstore #337,44.3810418,-64.518473,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
470 Warwick St,Digby,NS,"B0V1A0",Atlantic Superstore #339,44.6176419,-65.7590208,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
471 Smythe Street,Fredericton,NB,"E3B3E3",Atlantic Superstore #341,45.9584391,-66.6580869,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
165 Main St,Moncton,NB,"E1C1B8",Atlantic Superstore #350,46.0939998,-64.7686943,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
745 Sackville Dr,Lower Sackville,NS,"B4E2R2",Atlantic Superstore #351,44.7737698,-63.6911157,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
650 Portland Street,Dartmouth,NS,"B2W6A3",Atlantic Superstore #352,44.6716399,-63.5256054,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
168 Rothesay Ave,Saint John,NB,"E2J2B5",Atlantic Superstore #353,45.2879607,-66.0450414,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
6141 Yonge St,Halifax,NS,"B3K2A5",Atlantic Superstore #354,44.6586403,-63.6052237,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
700 St. Peters Ave,Bathurst,NB,"E2A2Y7",Atlantic Superstore #357,47.6303607,-65.6648713,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
210 Chain Lake Drive,Halifax,NS,"B3S1C5",Atlantic Superstore #358,44.653844,-63.674364,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
429 Coverdale Road,Riverview,NB,"E1B3K3",Atlantic Superstore #361,46.0653041,-64.8017641,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
25 Savoie Avenue,Atholville,NB,"E3N4A8",Atlantic Superstore #362,47.9890666,-66.7017447,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
115 Campbell Road,Rothesay,NB,"E2E6E4",Atlantic Superstore #364,45.3931953,-65.9683756,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
195 King St.,St Stephen,NB,"E3L2E4",Atlantic Superstore #366,45.2021379,-67.2718521,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
394 Westville Road,New Glasgow,NS,"B2H2J7",Atlantic Superstore #368,45.5797344,-62.6599306,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
1075 Barrington Street,Halifax,NS,"B3H2P8",Atlantic Superstore #369,44.6379418,-63.568988,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
295 Highway 214,Elmsdale,NS,"B2S2L1",Atlantic Superstore #375,44.9816337,-63.5087708,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
465 University Ave,Charlottetown,PE,"C1A4N9",Atlantic Superstore #376,46.2504486,-63.1397845,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
1650 Bedford Hwy.,Bedford,NS,"B4A4J7",Atlantic Superstore #378,44.7345943,-63.6576054,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
3601 Joseph Howe Drive,Halifax,NS,"B3L4H8",Atlantic Superstore #379,44.6576331,-63.6274083,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
6139 Quinpool Rd,Halifax,NS,"B3L4P6",Atlantic Superstore #383,44.6462625,-63.5952051,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
44 Lower Cove Road,Sussex,NB,"E4E0B7",Atlantic Superstore #389,45.7215101,-65.5287916,,,,,"",,,,Grocery,Kicking Horse,CA,Canada,
13 - 18 Airborne Road,North Harbour,Auckland,"632",Atlas Power Coffee,-36.739582,174.700204,,www.shop.atlaspowercoffee.co.nz,,,"",,,,Online,,nz,New Zealand,
1000 McDonald Lake Road,Atlin,BC,"V0W 1A0 ",Atlin Mountain Coffee Roasters,59.565661,-133.703249,,www.atlinmountaincoffee.ca,,,"",,,,Online,,ca,Canada,
101 - 70C N Mountjoy Street,Timmins,ON,"P4N 4V7",Aurora,48.477992,-81.335621,,,,,"",,,,Grocery,ONECOFFEE,ca,Canada,
110A - 2750 Chemin Sainte-Foy,Quebec,QC,"G1V 1V6",Aux Mille Grains,46.78069,-71.299933,,www.millegrains.com,,,"",,,,Online,,ca,Canada,
2750 Chemin Ste-Foy,Quebec,QC,"G1V 1V6",Aux Mille Grains,46.78069,-71.299933,,www.millegrains.com,,,"",,,,Retail,,ca,Canada,
8600 Boulevard Leduc,Brossard,QC,"J4Y 0G6",Avril,45.449307,-73.441651,,www.avril.ca,,,"",,,,Grocery,Kicking Horse,ca,Canada,
132 Rue Principale,Granby,QC,"J2G 2V2",Avril,45.399197,-72.725224,,www.avril.ca,,,"",,,,Grocery,Kicking Horse,ca,Canada,
1185 Chemin Du Trembly,Longueuil,QC,"J4N 1R4",Avril,45.536602,-73.464135,,www.avril.ca,,,"",,,,Grocery,Kicking Horse,ca,Canada,
36 Karaka St,Helensville,Auckland,"800",Awaroa Coffee,-36.680141,174.453603,,http://www.awaroacoffee.co.nz,,,"",,,,Roaster Retailer,,nz,New Zealand,
322 Burwood Road,Hawthorn,VIC,"3122","Axil Coffee Roasters ",-37.822758,145.034035,,www.axilcoffee.com.au,,,"",,,,Retail,,au,Australia,
1250 Siskyou Blvd,Ashland,OR,"97520","The Human Bean ",42.1857969,-122.6944886,,www.thehumanbean.com,,,"",,,,Retail,,us,United States,
300 Puppy Smith St,Aspen,CO,"81611",Clarks Market (Aspen),39.1928426,-106.8190087,,,,,"",,,,Grocery,Kicking Horse,US,United States,
279 West Marine Drive,Astoria`,OR,"97103",Columbia River Coffee Roaster,46.18891671,-123.8498719,,https://www.columbiarivercoffeeroaster.com/,,,"",,,,Retail,,us,United States,
"5330 Yacht Haven Grande Ste 103, Rte 30",Charlotte Amalie,St Thomas,"00802",Bad Ass Coffee,18.337378,-64.92097,,www.badasscoffee.com,,,"",,,,Roast/Retail,,VI,US Virgin Islands,
3167 Peachtree Rd,Atlanta,GA,"30305",Batdorf & Bronson Coffee Roasters,33.8403136,-84.3758734,,www.batdorfcoffee.com,,,"",,,,Roaster Retailer,,us,United States,
"33 Peachtree PI. NE, Ste. 9",Atlanta,GA,"30309",Batdorf & Bronson Coffee Roasters,33.7803478,-84.3867959,,www.batdorfcoffee.com,,,"",,,,Roaster Retailer,,us,United States,
650 North Avenue NE,Atlanta,GA,"30308",Batdorf & Bronson Coffee Roasters,33.759254,-84.33742,,www.batdorfcoffee.com,,,"",,,,Retail,,us,United States,
6255 River View Road,Atlanta,GA,"30126",Chattahoochee Coffee Company,33.8017833,-84.5024091,,https://chattahoocheecoffee.com/,,,"",,,,Cafe,Counter Culture,US,United States,
6640 Akers Mill Rd SE,Atlanta,GA,"30339",Chattahoochee Coffee Company,33.8971523,-84.4471315,,https://chattahoocheecoffee.com/,,,"",,,,Cafe,Counter Culture,US,United States,
790 Huff Road NW,Atlanta,GA,"30318",Chattahoochee Coffee Company,33.7862875,-84.4141479,,https://chattahoocheecoffee.com/,,,"",,,,Cafe,Counter Culture,US,United States,
"480 John Wesley Dobbs Ave, Ste 100",Atlanta,GA,"30312",Condesa Coffee,33.7594774,-84.3711749,,http://www.condesacoffee.com,,,"",,,,Cafe,Counter Culture,US,United States,
"407 N Central Ave, Ste B",Atlanta,GA,"30354",Jpresso,33.6556998,-84.4020205,,https://jpresso.business.site/,,,"",,,,Cafe,Counter Culture,US,United States,
1 Eagle Row,Atlanta,GA,"30322",Kaldi's Coffee Roasting Company,33.795271,-84.3229611,,www.kaldiscoffee.com,,,"",,,,Roaster Retailer,,us,United States,
100 Woodruff Circle,Atlanta,GA,"30322",Kaldi's Coffee Roasting Company,33.793956,-84.321843,,www.kaldiscoffee.com,,,"",,,,Roaster Retailer,,us,United States,
605 Asbury Circle,Atlanta,GA,"30322",Kaldi's Coffee Roasting Company @ Emory Student Center,33.7935595,-84.3233711,,www.kaldiscoffee.com,,,"",,,,Roaster Retailer,,us,United States,
528 Main St NE,Atlanta,GA,"30324",Sip the Experience,33.8227914,-84.370102,,http://www.siptheexperience.com/,,,"",,,,Cafe,Counter Culture,US,United States,
6000 S Terminal Parkway,Atlanta,GA,"30320",The Coffee Beanery,33.656824,-84.423648,,www.coffeebeanery.com,,,"",,,,Retail,,us,United States,
9700 Spine Road - Concourse B,Atlanta,GA,"30320",The Coffee Beanery,33.79643,-84.061123,,www.coffeebeanery.com,,,"",,,,Retail,,us,United States,
2099 Peachtree Rd NW,Atlanta,GA,"30309",The Fresh Market,33.8119654,-84.3914094,,,,,"",,,,Grocery,"Counter Culture, Groundwork Coffee",US,United States,
4405 Roswell Road,Atlanta,GA,"30342",The Fresh Market,33.8745834,-84.3801013,,,,,"",,,,Grocery,Groundwork Coffee,US,United States,
"670 Primrose Street ",Qualicum Beach,BC,"V9K 1S7",Bailey's in the Village,49.347505,-124.444269,,NA,,,"",,,,Retail,,ca,Canada,
2111 Briarcliff Rd.,Atlanta,GA,"30329",Whole Foods Market,33.8157419,-84.3332516,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
"22 14th Street NW, Suite C",Atlanta,GA,"30309",Whole Foods Market,33.7858512,-84.3880767,,www.wholefoodsmarket.com,,,"",,,,Grocery,"Allegro Coffee, Batdorf & Bronson, Counter Culture",US,United States,
3535 Northside Parkway,Atlanta,GA,"30327",Whole Foods Market,33.8506023,-84.4291446,,www.wholefoodsmarket.com,,,"",,,,Grocery,"Allegro Coffee, Batdorf & Bronson, Counter Culture, Groundwork Coffee",US,United States,
5001 Peachtree Boulevard Building 300,Atlanta,GA,"30341",Whole Foods Market,33.8848826,-84.315086,,www.wholefoodsmarket.com,,,"",,,,Grocery,Allegro Coffeeï¿½,US,United States,
5930 Roswell Rd.,Atlanta,GA,"30328",Whole Foods Market,33.9180687,-84.3802052,,www.wholefoodsmarket.com,,,"",,,,Grocery,"Allegro Coffee, Batdorf & Bronson, Counter Culture",US,United States,
